Date ,totalVidDuration,totalVidkwh,totalVidNum,totalLightDuration,totalCarbDiox,totalwalkSteps,totalwalk_kwh,totalwalk_light
1/30,18265,0.06088333333,36,3470.35,40.58888889,"2,515",0.0006353684211,36.216
1/31,377,0.001256666667,2,71.63,0.8377777778,196,0.00004951578947,2.8224
2/1,2785,0.009283333333,4,529.15,6.188888889,"10,132",0.002559663158,145.9008
2/2,14626,0.04875333333,16,2778.94,32.50222222,48,0.00001212631579,0.6912
2/3,21902,0.07300666667,33,4161.38,48.67111111,2715,0.0006858947368,39.096
2/4,7754,0.02584666667,15,1473.26,17.23111111,"2,011",0.0005080421053,28.9584
2/5,5222,0.01740666667,7,992.18,11.60444444,"3,829",0.0009673263158,55.1376
2/6,1664,0.005546666667,5,316.16,3.697777778,"6,719",0.001697431579,96.7536
2/7,0,0,0,0,0,1726,0.0004360421053,24.8544
2/8,831,0.00277,1,157.89,1.846666667,"2,195",0.0005545263158,31.608
2/9,21153,0.07051,33,4019.07,47.00666667,"5,784",0.001461221053,83.2896
2/10,5071,0.01690333333,9,963.49,11.26888889,92,0.00002324210526,1.3248
2/11,585,0.00195,1,111.15,1.3,"2,175",0.0005494736842,31.32
2/12,3314,0.01104666667,4,629.66,7.364444444,"3,295",0.0008324210526,47.448
2/13,388,0.001293333333,2,73.72,0.8622222222,"2,714",0.0006856421053,39.0816
2/14,751,0.002503333333,2,142.69,1.668888889,"2,654",0.0006704842105,38.2176
2/15,0,0,0,0,0,"3,789",0.0009572210526,54.5616
2/16,11003,0.03667666667,23,2090.57,24.45111111,"5,182",0.001309136842,74.6208
2/17,23893,0.07964333333,38,4539.67,53.09555556,"2,225",0.0005621052632,32.04
2/18,8340,0.0278,16,1584.6,18.53333333,"6,985",0.001764631579,100.584
2/19,4799,0.01599666667,10,911.81,10.66444444,"3,675",0.0009284210526,52.92
2/20,2305,0.007683333333,3,437.95,5.122222222,3244,0.0008195368421,46.7136
2/21,9825,0.03275,17,1866.75,21.83333333,"4,554",0.001150484211,65.5776
2/22,348,0.00116,2,66.12,0.7733333333,"3,851",0.0009728842105,55.4544
2/23,9941,0.03313666667,18,1888.79,22.09111111,62,0.00001566315789,0.8928
2/24,9034,0.03011333333,18,1716.46,20.07555556,52,0.00001313684211,0.7488
2/25,4722,0.01574,6,897.18,10.49333333,"2,437",0.0006156631579,35.0928
2/26,0,0,0,0,0,"1,596",0.0004032,22.9824
2/27,229,0.0007633333333,1,43.51,0.5088888889,"2,748",0.0006942315789,39.5712
2/28,15515,0.05171666667,20,2947.85,34.47777778,"3,846",0.0009716210526,55.3824
2/29,3140,0.01046666667,1,596.6,6.977777778,"4,103",0.001036547368,59.0832
3/1,7172,0.02390666667,11,1362.68,15.93777778,"1,834",0.0004633263158,26.4096
3/2,5781,0.01927,2,1098.39,12.84666667,"2,506",0.0006330947368,36.0864
3/3,9196,0.03065333333,15,1747.24,20.43555556,"2,412",0.0006093473684,34.7328
3/4,14418,0.04806,20,2739.42,32.04,"2,460",0.0006214736842,35.424
3/5,1370,0.004566666667,2,260.3,3.044444444,"2,464",0.0006224842105,35.4816
3/6,2279,0.007596666667,8,433.01,5.064444444,"2,858",0.0007220210526,41.1552
3/7,1372,0.004573333333,3,260.68,3.048888889,"1,705",0.0004307368421,24.552
3/8,9652,0.03217333333,12,1833.88,21.44888889,"3,565",0.0009006315789,51.336
3/9,2485,0.008283333333,4,472.15,5.522222222,"6,701",0.001692884211,96.4944
3/10,36530,0.1217666667,10,6940.7,81.17777778,"2,330",0.0005886315789,33.552
3/11,1126,0.003753333333,43,213.94,2.502222222,2725,0.0006884210526,39.24